sku,nombre,categoria,costo,precio,stock,stock_min,dias_sin_venta,url_imagen,proveedor
1012UL-,"Smart UPS Forza SL-1012UL-C, Línea interactiva",-,199.0,238.79999999999998,0.0,0,0,,Grumpy
-3019CXXLCYA,BROTHER LC-3019C XXL CYAN,-,,,0.0,0,0,,Grumpy
B11B261202,Scanner Workforce DS-530 II ,-,,,0.0,0,0,,Grumpy
L5650DN,Brother DCP-L5650DN,-,,,0.0,0,0,,Grumpy
00VA600WINTER, UPS 1000VA 600W INTERACTIVA,-,,,0.0,0,0,,Grumpy
02D,MAQUINA DE COSER OVERLOCK JANOME 8002D,-,,,0.0,0,0,,Grumpy
0VA300WEasy,UPS 500VA 300W Easy-UPS - Interactiva,-,,,0.0,0,0,,Grumpy
1,MASCARILLA KN-95 10 UNIDADES,-,,,0.0,0,0,,Grumpy
1007,Webcam C270 HD,-,,,0.0,0,0,,Grumpy
1008609,Igenix Wipes Frasco 12x40u,-,,,0.0,0,0,,Grumpy
100CTSLTS582,Glucometro Yuwell 582 con 100 Cintas 100 Lancetas Brand Yuwell SKU ,-,,,0.0,0,0,,Grumpy
101001000UE300,Adaptador USB 3.0 a Ethernet 101001000 UE300,-,,,0.0,0,0,,Grumpy
101095,DOBLE CLIP NEGRO 19 MM. METALICO FULTONS 12 UNI,-,,,0.0,0,0,,Grumpy
101098,DOBLE CLIP NEGRO 41 MM. METALICO CAJA DE 12 FULTONS,OFICINA,,,0.0,0,0,,Grumpy
101099,DOBLE CLIP NEGRO 51 MM. METALICO CJ C12 SETS FULTONS,-,,,0.0,0,0,,Grumpy
101491,ELASTICOS 12 KL. BLANCO IMPORTADO FULTONS,-,,,0.0,0,0,,Grumpy
101719,FUNDA PARCHIVO OF. TRANSP. POLIP RIBETE BLANCO FULTONS,-,,,0.0,0,0,,Grumpy
101720,FUNDA PARCHIVO CTA. TRANSP. POLIP  RIBETE BLANCO FULTONS,-,,,0.0,0,0,,Grumpy
103163, SOBRE SACO OFICIO BLANCO 90 GR. FULTONS 25 U ,-,,,0.0,0,0,,Grumpy
104092,LAPIZ GRAFITO N2 CPO. REDONDO NEGRO FULTONS,-,,,0.0,0,0,,Grumpy
10521,Lápiz grafito Bic N2 HB Evolution Con Goma,-,,,10.0,0,0,,Grumpy
107120,CORCHETES ESTANDAR 266 5000 UN. CROMADO FULTONS,-,,,0.0,0,0,,Grumpy
107w,Impresoras Láser HP LaserJet 107w,-,,,0.0,0,0,,Grumpy
10836,Clips Torre N1 Punta Triangular 33 mm,-,,,12.0,0,0,,Grumpy
10TBSS,DISCO DURO 10TB SATA VIDEO SKYHAWK SEAGATE,-,,,0.0,0,0,,Grumpy
110006007,MIDEA Horno microondas análogo 20 litros,-,,,0.0,0,0,,Grumpy
110052245,SOPORTE ECOTEK ,-,,,0.0,0,0,,Grumpy
110166909,SPLENDID Calefont Gas licuado 7 litros Tiro Natural,-,,,0.0,0,0,,Grumpy
110223365,MOTOROLA  Kit radio T260 25MI con USB,-,,,0.0,0,0,,Grumpy
110280697,"FIXSER  Caja de seguridad digital 53,75 litros",-,,,0.0,0,0,,Grumpy
11381,RESMA PAPEL FOTOCOPIA OFICIO 500 HOJAS,-,,,0.0,0,0,,Grumpy
11563,ARCH. TORRE OFICIO ANGOSTO BURDEO 515-H,-,,,0.0,0,0,,Grumpy
11576,CARPETA COLGANTE TORRE KRAFT BMETAL,-,,,0.0,0,0,,Grumpy
11646, BLOCK COLON ESCOLAR ESPIRAL 7MM BE-3280 ,-,,,0.0,0,0,,Grumpy
11702, CAJA CORCHETES COLON 266 5.000 UNIDADES ,-,,,0.0,0,0,,Grumpy
11714,CLIPS TORRE 1 PUNTA TRIANGULAR 33 MM,-,,,0.0,0,0,,Grumpy
11827,TEMPERA 6 COLORES TORRE,-,,,0.0,0,0,,Grumpy
11962,CUAD. UNIV. COLON LISO MAT-7MM 100 HJ,-,,,0.0,0,0,,Grumpy
12294GR,CARPETA PLASTIFICADA GRIS OFICIO,-,,,0.0,0,0,,Grumpy
12494-K, TIJERA ISOFIT 24 CM 10 OFICINA-HOGAR ,-,,,0.0,0,0,,Grumpy
1250G,HONEYWELL VOYAGER 1250G LECTOR DE CÓDIGO DE BARRAS LÁSER 1D - INCLUYE CABLE USB Y BASE,-,,,0.0,0,0,,Grumpy
12665AM,Destacador Tratto Tipo Lápiz Flúor Amarillo,-,,,6.0,0,0,,Grumpy
12746,Cinta Adhesiva Sellofilm Transparente 12 mm x 18m,-,,,50.0,0,0,,Grumpy
12749,Cinta Adhesiva Sellofilm Transparente 18 mm x 45 m,-,,,50.0,0,0,,Grumpy
1301350,CORCHETERA B400 NEGRA,-,,,0.0,0,0,,Grumpy
1301632,CORCHETERA B440LR NEGRA BOSTITCH LARGA METÁLICA,-,,,0.0,0,0,,Grumpy
1302142, BANDERITAS 5 COLORES 100 UNIDADES OFFLINE ,-,,,0.0,0,0,,Grumpy
13306,Cinta Multiuso Tesa Extra Power 50 mm 10 M gris,-,,,5.0,0,0,,Grumpy
14036,Etiqueta Ink/Láser Autoadhesiva Adetec 16 Por Hoja 53x70 mm 25 Unidades,-,,,2.0,0,0,,Grumpy
14111507, RESMAS OFICIO ,-,,,0.0,0,0,,Grumpy
14111508,RESMAS CARTA ,-,,,0.0,0,0,,Grumpy
